,Volumes(>200D),Volumes(All),DollarVolumes(>200D),DollarVolumes(All),prices
2020-10-03 22:00:00,356.22225713,305597.81620204024,3763032.182089323,3228249762.969816,10563.72
2020-10-03 23:00:00,54.456264609999984,68058.25279521005,574603.4444721063,718126863.106578,10551.65
2020-10-04 00:00:00,402.7617692299999,69539.94063248968,4249418.598614961,733695051.631209,10550.7
2020-10-04 01:00:00,43.157421249999956,39048.90226662,455117.44894029945,411790979.8306866,10545.52
2020-10-04 02:00:00,103.87519210999996,42729.241852620165,1096506.5279131597,451049876.9962585,10556.0
2020-10-04 03:00:00,91.70410476999996,45648.64068842984,967678.2202718982,481692673.2996355,10552.18
2020-10-04 04:00:00,26.861928589999998,114867.4697276613,283950.46302345657,1214234156.9489784,10570.74
2020-10-04 05:00:00,65.53179560999997,37472.391260169985,692663.2157822265,396078678.9330455,10569.88
2020-10-04 06:00:00,49.41642644,46490.42102539984,524861.7485045281,493784059.7949768,10621.2
2020-10-04 07:00:00,62.01290517,173770.61236153802,658168.3878603298,1844298754.944071,10613.41
2020-10-04 08:00:00,21.57909987,15062.446303800169,228775.5746737764,159687838.22792435,10601.72
2020-10-04 09:00:00,263.22366644000004,50255.93520247008,2790413.0300371246,532759148.606569,10600.92
2020-10-04 10:00:00,583.26675,127391.59097867952,6175266.723615001,1348743182.4958518,10587.38
2020-10-04 11:00:00,48.276952009999945,90166.91998758947,511954.8686681249,956178709.6851921,10604.54
2020-10-04 12:00:00,137.97882252000002,19460.994476850105,1463920.81223157,206476286.15076038,10609.75
2020-10-04 13:00:00,150.55999886,158789.8068501084,1597667.4279028901,1684998035.3899255,10611.5
2020-10-04 14:00:00,183.48748429999998,25132.59169498007,1946802.2084229996,266656797.88373858,10610.0
2020-10-04 15:00:00,76.94432296999999,94959.27058792963,815395.9182641432,1006304281.4598196,10597.22
2020-10-04 16:00:00,179.32510529999996,122577.92019599979,1901850.3367696796,1300012390.4306955,10605.6
2020-10-04 17:00:00,109.42272998000001,70664.09819153996,1160975.1650878,749746081.8122392,10610.0
2020-10-04 18:00:00,59.95443864,43383.46696637999,637619.6517471047,461386208.0301388,10635.07
2020-10-04 19:00:00,83.51027888,121444.3508356299,891640.9178073375,1296663762.7590375,10677.02
2020-10-04 20:00:00,58.303219879999986,95632.27031142003,620748.5517403719,1018187218.7786578,10646.9
2020-10-04 21:00:00,104.53920641000008,75984.29542251021,1113039.3845679117,809012391.7930086,10647.1
2020-10-04 22:00:00,128.83434370000006,98049.74919024976,1373693.6130143765,1045453489.7460543,10662.48
2020-10-04 23:00:00,505.7078718899999,93572.54093473978,5396464.328804098,998522877.294111,10671.11
2020-10-05 00:00:00,100.09869979000003,45519.58790495987,1071994.0125700326,487486109.12174016,10709.37
2020-10-05 01:00:00,22.143949929999998,73992.89103960007,236841.5022343122,791393925.8296841,10695.54
2020-10-05 02:00:00,50.4979731,53762.4335842499,541129.210023366,576110711.5481201,10715.86
2020-10-05 03:00:00,191.00623967000004,49548.07266940997,2038447.2406941904,528784463.7388436,10672.15
2020-10-05 04:00:00,38.71715401999999,16986.244826350005,412710.14933467226,181066915.07585704,10659.62
