,Profits(All),Losses(All),prices
2020-10-02 15:00:00,163193.4448422918,568079.1514030929,10517.75
2020-10-02 16:00:00,10250053.858081924,2624842.71545742,10549.63
2020-10-02 17:00:00,16193921.988303728,1325915.9940342314,10543.18
2020-10-02 18:00:00,2447410.608657897,1562335.979316109,10555.0
2020-10-02 19:00:00,419851.65430895216,2025523.0623433078,10515.13
2020-10-02 20:00:00,1997782.9000800196,715449.4089167265,10546.1
2020-10-02 21:00:00,981323.9764561255,4474720.186897905,10472.06
2020-10-02 22:00:00,4225108.461116821,616345.883038207,10555.6
2020-10-02 23:00:00,1632445.5500421685,543952.534337486,10573.12
2020-10-03 00:00:00,2212211.732486907,1155314.755134753,10550.29
2020-10-03 01:00:00,250443.13831672072,942282.676139569,10539.12
2020-10-03 02:00:00,751294.4644296694,1116376.846415365,10545.99
2020-10-03 03:00:00,498215.70750493114,541448.524447345,10554.95
2020-10-03 04:00:00,1115299.5797275247,308037.75670686737,10561.78
2020-10-03 05:00:00,158143.60035851988,831632.4523312207,10542.75
2020-10-03 06:00:00,496626.84086883126,1207946.827311777,10530.08
2020-10-03 07:00:00,2919105.882172131,801155.302689423,10529.95
2020-10-03 08:00:00,187804.8343256301,871554.908907669,10511.17
2020-10-03 09:00:00,1651360.1579423037,1299082.8859865163,10528.68
2020-10-03 10:00:00,839901.562814485,69124.67986301656,10552.67
2020-10-03 11:00:00,938292.4357561145,789765.1075673812,10542.07
2020-10-03 12:00:00,1159516.5514118143,922850.7376948239,10539.1
2020-10-03 13:00:00,437724.5954075766,889784.5610194841,10533.88
2020-10-03 14:00:00,558218.6052238941,411305.76322578,10541.01
2020-10-03 15:00:00,1334850.2001971016,387467.6929613933,10550.04
2020-10-03 16:00:00,1818263.5652069764,268330.59457107226,10582.24
2020-10-03 17:00:00,887810.5653848321,558552.4023389142,10587.46
2020-10-03 18:00:00,647568.1643201689,193609.57816355562,10580.51
2020-10-03 19:00:00,562823.1943760348,493029.649208467,10589.25
2020-10-03 20:00:00,528919.4313153157,650370.7914733489,10572.03
2020-10-03 21:00:00,605325.0832696247,106869.4402413701,10578.61
2020-10-03 22:00:00,2352206.5887717335,782154.2692602986,10563.72
2020-10-03 23:00:00,257804.54825011155,686554.8824759659,10551.65
2020-10-04 00:00:00,365513.6390151885,790148.293128464,10550.7
2020-10-04 01:00:00,208951.22165898577,522734.6861949917,10545.52
2020-10-04 02:00:00,859416.5417184173,197318.47717021764,10556.0
2020-10-04 03:00:00,993384.747379052,547979.1195100327,10552.18
2020-10-04 04:00:00,768735.7302892052,246960.91789418977,10570.74
2020-10-04 05:00:00,370747.1027369124,94926.33347662343,10569.88
2020-10-04 06:00:00,2103702.1257913616,126732.15171018546,10621.2
2020-10-04 07:00:00,743835.4280039085,1147933.8430101862,10613.41
2020-10-04 08:00:00,274707.1119696176,160348.59551708333,10601.72
2020-10-04 09:00:00,623922.5213293217,1657333.1566453215,10600.92
2020-10-04 10:00:00,2623822.7443024334,720977.6358118318,10587.38
2020-10-04 11:00:00,875843.2953895667,118630.36181565002,10604.54
2020-10-04 12:00:00,620510.0870224347,100287.2268085267,10609.75
2020-10-04 13:00:00,2433579.3888775697,501283.632418046,10611.5
2020-10-04 14:00:00,1013865.7346522311,836325.6138747645,10610.0
2020-10-04 15:00:00,1356748.3003604922,1307549.078461937,10597.22
2020-10-04 16:00:00,1179123.0091292625,339539.82040996844,10605.6
2020-10-04 17:00:00,734995.7816295141,755409.502701368,10610.0
2020-10-04 18:00:00,1619437.6494859997,193262.55918730036,10635.07
2020-10-04 19:00:00,2160531.4490255686,274586.48684993555,10677.02
2020-10-04 20:00:00,822581.2955149368,1288716.1215311883,10646.9
2020-10-04 21:00:00,1031051.5360255069,446795.05840310775,10647.1
2020-10-04 22:00:00,1542560.164410096,621116.9765577072,10662.48
2020-10-04 23:00:00,2806290.710210948,98106.10742639743,10671.11
2020-10-05 00:00:00,2206984.1756963897,60927.44949877506,10709.37
2020-10-05 01:00:00,642668.7661280065,485648.8532268429,10695.54
2020-10-05 02:00:00,1771361.4730937122,114516.86405339997,10715.86
2020-10-05 03:00:00,793542.6534979837,1543075.790406215,10672.15
2020-10-05 04:00:00,234103.56453012986,385213.7632277994,10659.62
2020-10-05 05:00:00,3087475.96618904,280745.27870720223,10680.46
2020-10-05 06:00:00,661360.4305436723,1619601.850244034,10643.71
2020-10-05 07:00:00,3380752.4355566204,327799.22254187026,10693.44
2020-10-05 08:00:00,5961589.787609437,671285.5814975956,10674.66
2020-10-05 09:00:00,988499.8738456516,157942.02277109178,10682.98
2020-10-05 10:00:00,3644775.0324945557,734064.4710699737,10679.55
2020-10-05 11:00:00,1073836.9475634936,701521.7613491244,10667.54
2020-10-05 12:00:00,3962486.0313854865,526150.9938114213,10696.47
2020-10-05 13:00:00,1726160.3553705842,57671.03054122723,10731.05
2020-10-05 14:00:00,2439985.0141100474,1658925.3970820336,10726.64
2020-10-05 15:00:00,4155451.692381336,1300629.3028687546,10727.47
2020-10-05 16:00:00,447814.87792125344,79422.00581266009,10746.0
2020-10-05 17:00:00,2702857.9058459313,1619675.0470116835,10695.49
2020-10-05 18:00:00,2281176.2717567915,174571.9375653069,10716.17
2020-10-05 19:00:00,5431815.079482272,168262.99834043824,10736.72
2020-10-05 20:00:00,7563307.330597288,1079692.447692264,10742.82
2020-10-05 21:00:00,1441901.7578889315,430945.0638282269,10740.0
2020-10-05 22:00:00,6383168.079910923,685671.534731846,10753.72
2020-10-05 23:00:00,4310916.636211962,387201.70636529726,10795.0
2020-10-06 00:00:00,380039.8773439814,1078506.9073096488,10758.46
